bin,count,pred_mean,actual_mean,pred_min,pred_max
0,76,-0.2493254806960753,0.2600458606661972,-0.2619704206784566,-0.24112779895464578
1,75,-0.19441720044447316,0.8959476289563701,-0.24090395122766495,-0.059337472543120384
2,76,-0.039706067913293584,0.14642898195825294,-0.05912615451961756,-0.005222794289390246
3,75,0.1302395699876878,0.14069516384105837,-0.0025459639728069305,0.4798870971426368
4,75,1.8945075784458054,3.1560023556447376,0.5148689672350883,3.532944470643997
5,76,5.684009763232448,5.997861595878416,3.6135838528474173,7.574992577234904
6,75,9.822607198556264,10.515494561148492,7.666572252909343,11.527989188830057
7,76,13.861063770034855,12.861446053236236,11.610558668772379,15.851401408513388
8,75,17.059293904304507,14.88861077817953,15.942062775293985,18.14412196477254
9,76,20.823452118195984,18.240194332022046,18.2521010239919,25.939072608947754
