bin,count,pred_mean,actual_mean,pred_min,pred_max
0,44,0.5877022883208278,0.0,0.5451680162418997,0.5918546918032419
1,46,0.5955891601751095,0.0,0.592196494415342,0.6005024200168677
2,45,0.614537518305906,0.03448771641701995,0.6007987076343732,0.6342072307537768
3,45,0.6945858672845017,0.0027407407407407406,0.6354707955542312,0.7985446942062833
4,44,1.437642623354617,1.1843665152953349,0.8006454205335927,2.594285971416616
5,45,5.281749265344341,4.702753019064152,2.7421312338494186,7.522021598962058
6,45,9.713977649875842,8.75826815717545,7.653256148784742,11.268481481718792
7,45,12.601552021279327,12.192194185304945,11.331744194870609,13.836190531472417
8,45,15.2905059790589,15.604296216682794,13.884182770914107,17.195229251456343
9,45,19.82426881961116,21.256474444739204,17.298203619846173,27.155709380908842
