first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,defcon_actions,defcon_actions_per_90,name,season_stats_gw
Iliman,Ndiaye,Ndiaye,Midfielder,EVE,18.710376181500994,22.726129387454776,100.0,100.0,,6.3,4.7,0.0,20.3,128,2,4.0,0.0,0.22,0.14,0.36,,605.8,479.2,578.0,166.5,90.0,6,3,8,44,32,6.0,6.0,3.0,0.0,3.0,0.0,4.185648543268565,3.7493341024940205,3.505423218923113,3.502464487724569,3.767505829090727,4.015753205953783,,,,,,,6.0,6.0,Everton,38
Ollie,Watkins,Watkins,Forward,AVL,19.04985376274402,22.537426121044035,100.0,100.0,,8.7,13.0,0.0,19.2,167,13,4.5,0.0,0.49,0.04,0.53,,720.2,330.9,1206.0,225.2,90.0,16,4,9,38,33,2.0,2.0,1.0,1.0,0.0,0.0,4.154693064887283,3.275328074812943,3.528778398227991,3.831933791501318,4.259120433314488,3.4875723583000156,,,,,,,2.0,2.0,Aston Villa,38
Enzo,Fernández,Enzo,Midfielder,CHE,17.716115040103197,22.398029179532056,100.0,100.0,,6.5,12.3,0.0,24.2,157,1,4.4,0.0,0.33,0.21,0.54,,835.6,1063.2,747.0,264.6,90.0,10,5,8,46,35,7.0,7.0,1.0,2.0,4.0,0.0,4.5873575530336375,3.8899990874767765,3.2311775641555287,2.7703862632389242,3.2371945721983297,4.681914139428859,,,,,,,7.0,7.0,Chelsea,38
Marc,Cucurella Saseta,Cucurella,Defender,CHE,18.403743173718556,22.364503078724976,100.0,100.0,,6.1,14.6,0.0,17.0,104,1,3.1,0.0,0.08,0.11,0.19,,562.8,577.8,309.0,145.1,90.0,1,4,9,39,31,2.0,2.0,2.0,0.0,4.0,0.0,3.744759605601355,4.270761924518434,3.705265200206526,3.563812783413505,3.1191436599787368,3.960759905006419,,,,,,,2.0,2.0,Chelsea,38
Zian,Flemming,Flemming,Forward,BUR,18.959086540715106,22.318880160401214,100.0,100.0,,5.3,0.8,0.0,18.7,99,9,3.4,0.0,0.41,0.02,0.43,,466.0,159.5,533.0,114.9,84.0,11,0,3,35,21,4.0,4.285714285714286,0.0,3.0,1.0,0.0,3.7158922729630386,3.9363620091605056,3.9685089780593574,3.6416596325516624,3.696663647980542,3.359793619686107,,,,,,,4.0,4.285714285714286,Burnley,38
Marcus,Tavernier,Tavernier,Midfielder,BOU,18.270912016842924,22.289122932001156,100.0,100.0,,5.3,4.2,0.0,25.8,137,10,4.0,0.0,0.3,0.15,0.45,,656.8,816.6,605.0,207.9,90.0,7,4,11,44,31,6.0,6.0,1.0,3.0,2.0,0.0,4.584681471331363,2.8783060264856686,3.323092747092286,3.389918242143482,4.094913529790126,4.01821091515823,,,,,,,6.0,6.0,Bournemouth,38
Enzo,Le Fée,E.Le Fée,Midfielder,SUN,18.679678496790014,21.974772456707754,100.0,100.0,,4.8,1.6,0.0,30.6,147,5,4.1,0.0,0.16,0.18,0.34,,725.8,816.4,324.0,186.9,90.0,5,6,10,43,33,11.0,11.0,4.0,3.0,4.0,0.0,3.317373738544207,3.616994601955996,3.6551413487102558,4.413755239957407,3.67641356762215,3.295093959917739,,,,,,,11.0,11.0,Sunderland,38
Micky,van de Ven,Van de Ven,Defender,TOT,18.253039387410247,21.960876453165056,100.0,100.0,,4.4,17.6,0.0,26.4,116,6,3.3,0.0,0.08,0.01,0.09,,683.4,95.2,218.0,99.6,90.0,4,1,9,50,35,6.0,6.0,0.0,6.0,3.0,0.0,4.071951200376685,3.923415883523941,4.141780439349466,3.236216439287653,2.8796754248725023,3.707837065754811,,,,,,,6.0,6.0,Spurs,38
Phil,Foden,Foden,Midfielder,MCI,17.377929841073918,21.91906926067177,100.0,100.0,,8.0,7.8,0.0,16.4,131,2,4.0,0.0,0.26,0.21,0.47,,583.2,918.8,520.0,201.9,90.0,7,5,11,19,23,2.0,2.0,0.0,0.0,2.0,0.0,3.569044203095434,3.0568507037161528,3.497766915264139,3.7699121428126796,3.4843558761855133,4.541139419597849,,,,,,,2.0,2.0,Man City,38
Morgan,Rogers,Rogers,Midfielder,AVL,18.36139437167609,21.904106025056592,100.0,100.0,,7.3,20.2,0.0,23.2,169,0,4.6,0.0,0.19,0.12,0.31,,746.2,706.2,871.0,232.0,0.0,10,8,9,48,37,0.0,0.0,0.0,0.0,0.0,0.0,2.785306445599539,5.361688607266908,3.255942856878733,3.6643762120376007,3.294080249893311,3.542711653380501,,,,,,,0.0,0.0,Aston Villa,38
