first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,defcon_actions,defcon_actions_per_90,name,season_stats_gw
Vitalii,Mykolenko,Mykolenko,Defender,EVE,14.483773196337978,16.899847313653055,100.0,100.0,,4.9,0.7,0.0,19.4,95,2,2.9,0.0,0.01,0.07,0.08,,559.2,394.1,71.0,102.3,90.0,0,1,9,47,33,6.0,6.0,3.0,3.0,2.0,0.0,3.317947168507663,3.2149297386875606,2.8392721706227197,2.6913308542692027,2.4202932642508292,2.4160741173150786,,,,,,,6.0,6.0,Everton,38
Ian,Maatsen,Maatsen,Defender,AVL,14.76228811248803,16.891014048461905,,,,4.2,0.5,0.0,12.9,54,5,1.8,0.0,0.07,0.14,0.21,,336.6,373.4,231.0,94.3,90.0,0,1,2,27,17,14.0,14.0,4.0,10.0,3.0,2.0,3.423766457371027,2.9218770332312447,2.350004323196636,3.5839250306077997,2.4827152680813236,2.1287259359738773,,,,,,,14.0,14.0,Aston Villa,38
Noussair,Mazraoui,Mazraoui,Defender,MUN,13.954895687937853,16.87951695461689,100.0,100.0,,4.9,0.3,0.0,10.8,53,6,2.6,0.0,0.02,0.03,0.05,,209.0,122.4,37.0,36.8,73.0,0,0,5,10,11,5.0,6.164383561643835,1.0,4.0,4.0,0.0,3.3784021452011315,2.9438379637798815,1.939106625869605,2.9275925701460617,2.765956382941173,2.9246212666790363,,,,,,,5.0,6.164383561643835,Man Utd,38
Nikola,Milenković,Milenković,Defender,NFO,15.295383850988738,16.863842338922634,,,,5.1,3.3,0.0,23.3,119,4,3.1,0.0,0.02,0.02,0.04,,680.4,66.9,120.0,86.9,90.0,0,1,9,51,37,10.0,10.0,1.0,9.0,4.0,2.0,3.5231748125432802,3.406063172779014,2.8958265806940853,2.7674664195868015,2.702852865385558,1.5684584879338948,,,,,,,10.0,10.0,Nott'm Forest,38
Lewis,Hall,Hall,Defender,NEW,15.252640561493326,16.856840673083042,100.0,100.0,,5.3,3.3,0.0,14.9,79,1,2.6,0.0,0.04,0.11,0.15,,550.2,433.6,196.0,118.0,90.0,1,2,4,39,24,7.0,7.0,1.0,6.0,5.0,0.0,3.6587964901937164,3.601971475559583,3.0033784867148148,2.5879758055638327,2.4005183034613786,1.6042001115897175,,,,,,,7.0,7.0,Newcastle,38
Ibrahima,Konaté,Konaté,Defender,LIV,14.53922183152947,16.84931069349693,100.0,100.0,,5.4,3.8,0.0,23.9,129,1,3.6,0.0,0.03,0.03,0.06,,779.2,160.5,119.0,106.1,88.0,1,0,10,45,36,4.0,4.090909090909091,1.0,3.0,7.0,0.0,3.7953410210042,2.7366637246083285,2.9711576110570155,2.5255460625127935,2.510513412347133,2.3100888619674564,,,,,,,4.0,4.090909090909091,Liverpool,38
Myles,Lewis-Skelly,Lewis-Skelly,Defender,ARS,13.759936359637436,16.81462075933118,,,,5.0,1.9,0.0,5.8,29,2,1.4,0.0,0.01,0.03,0.04,,73.2,74.6,29.0,17.6,90.0,0,0,2,8,5,1.0,1.0,0.0,1.0,5.0,0.0,2.944836935215565,2.5256273123152315,2.8990114470494253,2.748350179198895,2.642110485858317,3.054684399693744,,,,,,,1.0,1.0,Arsenal,38
Liam,Delap,Delap,Forward,CHE,13.08701383174871,16.80861474415138,100.0,100.0,,6.2,0.9,0.0,7.3,45,1,1.6,0.0,0.37,0.02,0.39,,67.8,73.7,349.0,47.3,5.0,1,2,2,18,12,1.0,18.0,0.0,0.0,1.0,0.0,2.562099065453926,2.933835509420221,2.3685555078358282,2.7207391465927726,2.5017846024459622,3.7216009124026717,,,,,,,1.0,18.0,Chelsea,38
Will,Hughes,Hughes,Midfielder,CRY,14.528977997206482,16.745711130623,100.0,100.0,,4.7,0.1,0.0,9.6,45,2,1.5,0.0,0.06,0.11,0.17,,198.0,322.9,90.0,60.9,90.0,0,1,5,18,19,5.0,5.0,2.0,2.0,1.0,0.0,3.0092622113278065,2.9405207326720526,3.6611448141892473,2.7032136015209005,2.214836637496476,2.216733133416518,,,,,,,5.0,5.0,Crystal Palace,38
Bashir,Humphreys,Humphreys,Defender,BUR,14.156680126142739,16.72079005901324,100.0,100.0,,3.9,0.1,0.0,12.1,47,2,2.4,0.0,0.02,0.04,0.06,,379.0,135.6,101.0,61.4,90.0,0,2,2,33,17,3.0,3.0,0.0,3.0,5.0,0.0,2.560458207908151,2.8048029895084374,3.12543205546796,2.7197133225607066,2.9462735506974846,2.564109932870501,,,,,,,3.0,3.0,Burnley,38
Martín,Zubimendi Ibáñez,Zubimendi,Midfielder,ARS,14.228413056925598,16.681349825411704,100.0,100.0,,4.9,2.7,0.0,27.1,133,2,3.5,0.0,0.09,0.07,0.16,,603.2,385.1,271.0,126.2,90.0,5,1,16,25,34,7.0,7.0,1.0,3.0,3.0,0.0,3.3739410270322305,2.6061558526797857,3.2703807090360075,2.58452119943345,2.393414268744124,2.4529367684861065,,,,,,,7.0,7.0,Arsenal,38
Matty,Cash,Cash,Defender,AVL,13.74863841072842,16.678058561611888,100.0,100.0,,4.6,7.4,0.0,25.4,117,1,3.3,0.0,0.03,0.09,0.12,,643.0,510.7,221.0,137.5,45.0,3,3,8,38,34,1.0,2.0,0.0,1.0,2.0,0.0,3.507604451648059,3.2931196290483045,1.9054303643595465,2.596508292259484,2.4459756734130256,2.929420150883467,,,,,,,1.0,2.0,Aston Villa,38
Destiny,Udogie,Udogie,Defender,TOT,14.408879618173307,16.67161918364485,100.0,100.0,,4.3,0.3,0.0,6.7,29,7,1.4,0.0,0.01,0.05,0.06,,207.2,187.0,103.0,49.8,89.0,0,1,1,25,14,3.0,3.033707865168539,2.0,1.0,3.0,0.0,3.4433096761706117,2.9727225170942346,2.6957689089747516,2.54342775043613,2.753650765497578,2.262739565471543,,,,,,,3.0,3.033707865168539,Spurs,38
Mathys,Tel,Tel,Midfielder,TOT,14.35017074450547,16.653353646614562,100.0,100.0,,6.2,0.5,0.0,12.6,78,3,2.5,0.0,0.17,0.16,0.33,,303.4,457.2,312.0,107.6,72.0,4,2,3,23,13,6.0,7.5,1.0,1.0,4.0,0.0,3.4429618942605082,3.2009121458332626,2.8465765360463,2.4611366754309967,2.398583492934403,2.3031829021090946,,,,,,,6.0,7.5,Spurs,38
Lesley,Ugochukwu,Ugochukwu,Midfielder,BUR,14.056113482451327,16.613923071757306,100.0,100.0,,5.0,0.1,0.0,19.4,97,2,2.8,0.0,0.1,0.02,0.12,,412.2,181.5,210.0,80.2,74.0,3,3,3,51,27,5.0,6.081081081081082,0.0,1.0,4.0,0.0,2.8483862083057305,3.3380317307067813,2.624508515390568,2.3617375903070372,2.88344943774121,2.557809589305978,,,,,,,5.0,6.081081081081082,Burnley,38
Luke,Shaw,Shaw,Defender,MUN,14.291998648108727,16.613785146602833,100.0,100.0,,4.5,1.1,0.0,25.1,113,6,3.0,0.0,0.02,0.06,0.08,,560.2,314.8,97.0,97.4,81.0,1,1,10,45,38,6.0,6.666666666666666,2.0,4.0,2.0,0.0,3.5268588570963266,3.109388064073174,2.644360286896439,2.638555147220962,2.372836292821826,2.321786498494106,,,,,,,6.0,6.666666666666666,Man Utd,38
Jake,O'Brien,O'Brien,Defender,EVE,13.70877783253005,16.582099520602387,100.0,100.0,,4.9,0.7,0.0,23.7,116,1,3.1,0.0,0.05,0.03,0.08,,582.8,282.9,206.0,107.5,61.0,1,3,10,46,35,4.0,5.9016393442622945,1.0,3.0,1.0,0.0,3.260818845690945,3.22452269018307,1.9858949975648537,2.8414264872886728,2.396114811802509,2.8733216880723367,,,,,,,4.0,5.9016393442622945,Everton,38
Adam,Armstrong,Armstrong,Forward,WOL,14.830051929886212,16.560477880142294,,,,5.1,0.1,0.0,7.6,39,7,2.8,0.0,0.22,0.07,0.29,,145.0,85.0,191.0,41.9,73.0,2,2,3,20,14,1.0,1.2328767123287672,0.0,0.0,1.0,0.0,2.9538040323822123,3.401783312708528,2.485376934429987,3.0223614134288086,2.966726236936678,1.7304259502560806,,,,,,,1.0,1.2328767123287672,Wolves,38
Gabriel,Fernando de Jesus,G.Jesus,Forward,ARS,13.898340955680293,16.55479964437616,100.0,100.0,,6.4,0.4,0.0,3.8,24,5,1.7,0.0,0.58,0.06,0.64,,141.8,54.3,281.0,47.5,74.0,3,0,1,6,3,3.0,3.6486486486486487,0.0,2.0,1.0,0.0,3.6997952623845665,2.7713863164292416,2.5404106941543283,2.4323096465348155,2.45443903617734,2.6564586886958685,,,,,,,3.0,3.6486486486486487,Arsenal,38
Michael,Keane,Keane,Defender,EVE,14.597121017652302,16.543670298794108,100.0,100.0,,4.5,3.1,0.0,29.1,131,4,4.0,0.0,0.08,0.02,0.1,,770.4,47.4,299.0,111.7,90.0,3,1,7,42,29,11.0,11.0,2.0,9.0,2.0,2.0,3.6129332633233804,2.8753081404311898,2.683355493836786,2.6567043782417503,2.768819741819196,1.946549281141807,,,,,,,11.0,11.0,Everton,38
Tyler,Adams,Adams,Midfielder,BOU,14.187871106699097,16.530432576220033,100.0,100.0,,4.9,0.3,0.0,15.7,77,4,3.1,0.0,0.03,0.03,0.06,,387.0,158.2,115.0,66.3,90.0,2,2,7,28,21,17.0,17.0,6.0,2.0,9.0,2.0,3.3273822492802,2.904698029797754,2.7886275114189147,2.741708944045387,2.4254543721568425,2.342561469520935,,,,,,,17.0,17.0,Bournemouth,38
Patrick,Dorgu,Dorgu,Defender,MUN,14.065266048896364,16.426896163564898,100.0,100.0,,4.1,2.4,0.0,23.2,95,18,3.7,0.0,0.15,0.12,0.27,,469.0,394.2,341.0,120.3,61.0,4,4,4,20,15,1.0,1.4754098360655736,1.0,0.0,1.0,0.0,3.4754972797478443,3.146964869398225,2.2193061797917535,2.57471471915232,2.648783000806221,2.3616301146685346,,,,,,,1.0,1.4754098360655736,Man Utd,38
Tyrick,Mitchell,Mitchell,Defender,CRY,13.813999824664524,16.39860342126878,,,,5.0,2.3,0.0,27.0,135,1,3.6,0.0,0.04,0.07,0.11,,649.0,467.3,241.0,136.0,45.0,1,3,12,47,36,3.0,6.0,0.0,3.0,3.0,0.0,2.8307288857266095,3.9351348872350376,1.8798143554983535,2.670463690133465,2.49785800607106,2.584603596604257,,,,,,,3.0,6.0,Crystal Palace,38
Habib,Diarra,Diarra,Midfielder,SUN,13.304733231118588,16.39393431134301,100.0,100.0,,5.3,0.1,0.0,12.3,65,0,3.2,0.0,0.21,0.05,0.26,,166.2,153.8,234.0,53.9,29.0,2,6,5,19,15,2.0,6.206896551724138,0.0,0.0,2.0,0.0,2.706241158467799,2.7484483635452213,2.671635600288915,2.8443135363937158,2.334094572422936,3.0892010802244214,,,,,,,2.0,6.206896551724138,Sunderland,38
André,Trindade da Costa Neto,André,Midfielder,WOL,14.179624670281937,16.38593264482513,100.0,100.0,,5.2,0.1,0.0,18.5,96,4,2.7,0.0,0.02,0.03,0.05,,423.0,320.6,46.0,78.9,90.0,1,0,2,53,30,13.0,13.0,4.0,3.0,6.0,2.0,3.493118198947996,3.2082431070384447,2.927241273451211,2.2392331384755098,2.3117889523687776,2.206307974543191,,,,,,,13.0,13.0,Wolves,38
Jayden,Bogle,Bogle,Defender,LEE,14.646577877558416,16.365751511738086,75.0,100.0,,4.4,0.4,0.0,21.8,96,2,2.8,0.0,0.07,0.1,0.17,,436.0,346.1,218.0,100.3,77.0,1,5,6,44,32,8.0,9.350649350649352,4.0,4.0,2.0,0.0,3.9935790969288303,3.581652795623115,1.7860796594113397,2.917108146735477,2.3681581788596535,1.7191736341796713,,,,,,,8.0,9.350649350649352,Leeds,38
Djed,Spence,Spence,Defender,TOT,14.03880112308717,16.340764518690424,100.0,100.0,,4.1,0.9,0.0,19.0,78,6,2.6,0.0,0.04,0.08,0.12,,291.0,209.7,207.0,70.5,90.0,0,0,9,31,23,3.0,3.0,2.0,1.0,5.0,0.0,3.1556908388567404,2.67255997182049,3.2408836767839317,2.346083196310379,2.623583439315628,2.301963395603254,,,,,,,3.0,3.0,Spurs,38
Reece,James,James,Defender,CHE,14.134256102537993,16.33851949915347,100.0,100.0,,5.6,6.0,0.0,20.5,115,1,4.0,0.0,0.05,0.15,0.2,,459.0,483.7,116.0,106.1,38.0,2,6,8,20,20,0.0,0.0,0.0,0.0,2.0,0.0,3.6841740720434513,2.927095247881909,1.734370306447188,3.143133992821353,2.6454824833440913,2.2042633966154774,,,,,,,0.0,0.0,Chelsea,38
Maxim,De Cuyper,De Cuyper,Defender,BHA,14.17054583798594,16.328812906562963,100.0,100.0,,4.3,1.7,0.0,19.5,84,0,2.8,0.0,0.11,0.26,0.37,,327.8,516.6,154.0,99.9,45.0,2,3,5,23,17,1.0,2.0,1.0,0.0,0.0,0.0,3.1586182389269224,3.1448903100032264,2.123968873227402,3.259544541804055,2.4835238740243346,2.1582670685770204,,,,,,,1.0,2.0,Brighton,38
Joško,Gvardiol,Gvardiol,Defender,MCI,13.18281066844003,16.31069969712782,100.0,100.0,,5.8,3.2,0.0,13.6,79,1,4.4,0.0,0.15,0.05,0.2,,369.0,109.5,218.0,69.8,12.0,2,2,6,13,16,1.0,7.5,0.0,1.0,1.0,0.0,2.568626236047698,2.652234598516141,2.341838853436311,2.9441034131834236,2.676007567256458,3.127889028687791,,,,,,,1.0,7.5,Man City,38
Hannibal,Mejbri,Hannibal,Midfielder,BUR,14.490233831009881,16.308349417945387,100.0,100.0,,4.7,0.1,0.0,12.6,59,1,2.2,0.0,0.07,0.15,0.22,,252.8,330.9,128.0,71.0,65.0,1,5,2,27,15,5.0,6.923076923076923,1.0,1.0,3.0,0.0,3.4024689422997705,3.4242711181396723,2.3638608767231695,2.681949350418428,2.6176835434288415,1.818115586935504,,,,,,,5.0,6.923076923076923,Burnley,38
Harry,Maguire,Maguire,Defender,MUN,14.510952403351864,16.301229965587247,100.0,100.0,,4.4,1.7,0.0,20.5,90,6,3.9,0.0,0.06,0.03,0.09,,381.6,62.5,184.0,63.0,90.0,1,2,7,20,19,7.0,7.0,1.0,6.0,2.0,0.0,3.5248671669949214,3.2498026638317206,2.6181050587598627,2.65700971636167,2.4611677974036876,1.790277562235384,,,,,,,7.0,7.0,Man Utd,38
Wilson,Isidor,Isidor,Forward,SUN,13.357729667377951,16.262694196040858,100.0,100.0,,5.0,1.3,0.0,14.8,74,1,2.3,0.0,0.37,0.03,0.4,,242.0,30.4,444.0,71.5,29.0,6,1,4,17,11,1.0,3.103448275862069,1.0,0.0,0.0,0.0,2.478262984377376,2.7010057293311176,3.0981840177775073,2.5663093619198794,2.5139675739720704,2.9049645286629078,,,,,,,1.0,3.103448275862069,Sunderland,38
Yankuba,Minteh,Minteh,Midfielder,BHA,13.257748167232725,16.223371329149977,100.0,100.0,,5.5,2.5,0.0,21.3,117,1,3.4,0.0,0.14,0.19,0.33,,491.8,691.4,617.0,180.3,45.0,3,8,11,33,26,3.0,6.0,3.0,0.0,0.0,0.0,3.6606861697228408,3.244799133762112,2.2367417439318587,1.7035779737235126,2.411943146092399,2.965623161917252,,,,,,,3.0,6.0,Brighton,38
Neco,Williams,N.Williams,Defender,NFO,14.009206730080699,16.211083311158553,100.0,100.0,,4.8,4.2,0.0,26.7,128,2,3.5,0.0,0.06,0.11,0.17,,804.0,572.3,380.0,175.6,90.0,2,3,9,48,36,8.0,8.0,2.0,6.0,6.0,0.0,3.542479877714298,2.5173650124018505,3.06341906858142,2.5139670347004834,2.371975736682649,2.201876581077855,,,,,,,8.0,8.0,Nott'm Forest,38
Jaydee,Canvot,Canvot,Defender,CRY,13.367411083942535,16.17644350470466,100.0,100.0,,4.5,0.5,0.0,16.0,72,0,3.6,0.0,0.1,0.02,0.12,,362.4,63.8,56.0,48.1,0.0,0,0,5,23,14,0.0,0.0,0.0,0.0,0.0,0.0,2.1823432467146127,3.1824706313527926,2.626543952490928,2.8313382666263998,2.5447149867578025,2.809032420762125,,,,,,,0.0,0.0,Crystal Palace,38
Ryan,Yates,Yates,Midfielder,NFO,13.154877008771589,16.17407872963062,100.0,100.0,,4.7,0.1,0.0,6.4,30,1,1.4,0.0,0.07,0.06,0.13,,139.0,79.7,55.0,27.2,25.0,0,2,0,7,2,6.0,21.599999999999998,2.0,2.0,2.0,0.0,2.5141783401408655,2.761557648157842,2.5361636596249735,2.7805450636653326,2.5624322971825744,3.0192017208590314,,,,,,,6.0,21.599999999999998,Nott'm Forest,38
Curtis,Jones,C.Jones,Midfielder,LIV,13.610215538960414,16.169090074957566,100.0,100.0,,5.4,0.1,0.0,15.0,81,10,2.4,0.0,0.1,0.13,0.23,,407.4,412.1,227.0,104.6,90.0,1,3,3,37,18,11.0,11.0,1.0,5.0,5.0,0.0,3.5934674113439873,2.7647239746332692,2.4254253974297595,2.10251835863667,2.7240803969167278,2.5588745359971528,,,,,,,11.0,11.0,Liverpool,38
Ross,Barkley,Barkley,Midfielder,AVL,14.230210836699563,16.096964794306185,100.0,100.0,,4.8,0.1,0.0,11.7,56,5,2.7,0.0,0.17,0.13,0.3,,227.8,162.3,191.0,58.1,85.0,3,2,1,15,7,3.0,3.1764705882352944,2.0,0.0,1.0,0.0,2.9167129048851548,3.5066449872155556,2.980880987908708,2.5646352074455243,2.2613367492446184,1.8667539576066217,,,,,,,3.0,3.1764705882352944,Aston Villa,38
Victor,Lindelöf,Lindelöf,Defender,AVL,12.860901476818931,16.096544125736372,100.0,100.0,,4.5,0.1,0.0,6.4,29,2,1.7,0.0,0.03,0.01,0.04,,167.8,36.6,22.0,22.7,72.0,0,1,1,15,11,5.0,6.25,1.0,4.0,3.0,0.0,2.7455980573483467,3.033143640914012,2.002158916706776,2.36295207102647,2.717048790823327,3.2356426489174415,,,,,,,5.0,6.25,Aston Villa,38
Jacob,Ramsey,J.Ramsey,Midfielder,NEW,13.961528448410105,16.082387011705062,100.0,100.0,,5.3,0.3,0.0,11.7,62,4,2.2,0.0,0.07,0.09,0.16,,304.4,330.3,165.0,79.9,90.0,2,3,1,31,15,14.0,14.0,5.0,3.0,6.0,2.0,3.49059752753105,2.8548412968470407,3.0310504553341113,2.343201567828113,2.241837600869788,2.1208585632949584,,,,,,,14.0,14.0,Newcastle,38
Nilson,Angulo,Angulo,Midfielder,SUN,13.787823115253351,16.068688871096786,100.0,100.0,,5.0,0.0,0.0,2.6,13,1,1.6,0.0,0.17,0.03,0.2,,45.4,44.3,89.0,17.8,60.0,0,0,1,6,5,10.0,15.0,2.0,5.0,3.0,0.0,3.216286132317167,3.0921082591673317,2.371257312165011,2.3133528789049413,2.7948185326989,2.2808657558434335,,,,,,,10.0,15.0,Sunderland,38
Mats,Wieffer,Wieffer,Midfielder,BHA,13.675303873976091,16.05415104151987,100.0,100.0,,4.8,0.3,0.0,19.6,94,2,3.6,0.0,0.09,0.09,0.18,,477.0,291.1,209.0,97.7,90.0,2,4,6,26,23,5.0,5.0,2.0,1.0,2.0,0.0,2.7984204824100667,2.5579606419755545,3.235162466202269,2.4563079030090447,2.6274523803791574,2.3788471675437797,,,,,,,5.0,5.0,Brighton,38
El Hadji Malick,Diouf,Diouf,Defender,WHU,14.311884929961714,16.046156457928095,100.0,100.0,,4.1,2.4,0.0,25.4,104,6,3.2,0.0,0.02,0.08,0.1,,583.6,480.2,133.0,119.8,90.0,0,6,9,47,30,8.0,8.0,1.0,7.0,7.0,0.0,3.4712189542518583,3.134438853490566,2.8386699550229477,2.56500706325762,2.3025501039387217,1.7342715279663814,,,,,,,8.0,8.0,West Ham,38
Maxence,Lacroix,Lacroix,Defender,CRY,13.568487480966539,16.031476364611994,100.0,100.0,,5.2,7.1,0.0,29.6,154,0,4.4,0.0,0.07,0.02,0.09,,822.0,106.4,316.0,124.3,0.0,1,2,11,47,35,0.0,0.0,0.0,0.0,0.0,0.0,2.169938557413254,3.466674056200701,2.403295759152935,2.85088258301791,2.6776965251817386,2.4629888836454548,,,,,,,0.0,0.0,Crystal Palace,38
Nico,González Iglesias,N.Gonzalez,Midfielder,MCI,13.949928015394994,16.031183584698386,100.0,100.0,,5.9,0.1,0.0,10.7,63,4,2.5,0.0,0.04,0.06,0.1,,309.8,234.1,72.0,61.5,90.0,1,0,7,18,17,14.0,14.0,3.0,4.0,7.0,2.0,3.078640518813064,3.058592571485847,2.9058674487720904,2.5495822719792445,2.357245204344748,2.0812555693033925,,,,,,,14.0,14.0,Man City,38
Rodrigo,Bentancur,Bentancur,Midfielder,TOT,13.427474138728945,16.017027094294562,100.0,100.0,,5.2,0.2,0.0,16.5,86,5,3.3,0.0,0.03,0.04,0.07,,349.0,197.8,124.0,67.4,81.0,1,1,8,25,23,14.0,15.555555555555555,3.0,4.0,7.0,2.0,3.091331289974935,3.045242521807407,2.534513099920873,2.236116333669367,2.5202708933563627,2.589552955565619,,,,,,,14.0,15.555555555555555,Spurs,38
Pau,Torres,Pau,Defender,AVL,13.178495672580219,15.962876683587744,100.0,100.0,,4.3,0.3,0.0,14.9,64,1,3.0,0.0,0.07,0.02,0.09,,321.8,47.1,79.0,45.1,17.0,0,2,5,19,18,3.0,15.882352941176471,0.0,3.0,0.0,0.0,2.7525698951920914,3.021170936828531,2.6425579346685457,2.3669432167020155,2.3952536891890355,2.7843810110075253,,,,,,,3.0,15.882352941176471,Aston Villa,38
Tolu,Arokodare,Tolu,Forward,WOL,13.25257846513854,15.960338546452425,,,,5.1,0.1,0.0,12.9,66,1,2.0,0.0,0.35,0.03,0.38,,252.4,178.4,561.0,98.2,24.0,3,2,3,28,13,2.0,7.5,0.0,2.0,0.0,0.0,2.355903976967695,2.768272377138003,2.499839705931783,2.772954779036004,2.855607626065056,2.7077600813138836,,,,,,,2.0,7.5,Wolves,38
Omari,Hutchinson,Hutchinson,Midfielder,NFO,14.065600821221569,15.933935684497715,,,,5.4,0.1,0.0,15.2,82,5,2.6,0.0,0.11,0.21,0.32,,333.6,527.1,356.0,121.6,77.0,1,7,6,24,17,6.0,7.012987012987013,3.0,0.0,3.0,0.0,3.0059787416298813,3.383108982604758,2.092807241018698,3.1246532912614517,2.4590525647067816,1.8683348632761474,,,,,,,6.0,7.012987012987013,Nott'm Forest,38
Hugo,Ekitiké,Ekitiké,Forward,LIV,12.67820095564233,15.933149428217916,0.0,0.0,Achilles injury - Expected back 01 Jul,9.0,15.7,0.0,13.9,125,0,4.5,0.0,0.51,0.12,0.63,,525.8,307.2,739.0,156.2,0.0,11,4,7,25,21,0.0,0.0,0.0,0.0,0.0,0.0,0.6719162820583544,2.301897636509704,2.5083793228490325,3.7112149050700056,3.484792809155232,3.2549484725755873,,,,,,,0.0,0.0,Liverpool,38
Nathan,Aké,Aké,Defender,MCI,14.157217836898472,15.900817345407182,,,,5.2,0.6,0.0,6.9,36,1,2.0,0.0,0.09,0.07,0.16,,132.4,111.7,78.0,32.4,76.0,0,0,3,9,6,1.0,1.1842105263157894,0.0,1.0,3.0,0.0,3.0976423747068886,3.912822296138487,2.1009201619429456,2.528946108822139,2.5168868952880095,1.7435995085087104,,,,,,,1.0,1.1842105263157894,Man City,38
Emiliano,Martínez Romero,Martinez,Goalkeeper,AVL,12.869120135851448,15.842534172399011,100.0,100.0,,5.0,4.4,0.0,24.0,120,0,3.8,0.0,0.0,0.0,0.0,,769.8,23.2,0.0,79.2,0.0,0,1,7,39,32,0.0,0.0,0.0,0.0,0.0,0.0,2.095444558441063,2.5868629375357886,2.6441645029014404,2.771989397050585,2.7706587399225726,2.973414036547563,,,,,,,0.0,0.0,Aston Villa,38
James,Trafford,Trafford,Goalkeeper,MCI,13.326045849340703,15.82541097103749,,,,4.5,0.9,0.0,2.9,13,2,3.2,0.0,0.0,0.0,0.0,,118.0,0.0,0.0,11.9,90.0,0,0,1,6,4,0.0,0.0,0.0,0.0,2.0,0.0,3.2405605134355775,3.501532009497278,2.4933119138647224,1.6485446710723386,2.442096741470787,2.499365121696787,,,,,,,0.0,0.0,Man City,38
Yoane,Wissa,Wissa,Forward,NEW,12.411097274044792,15.801422228600504,100.0,100.0,,7.3,0.6,0.0,3.7,27,0,1.4,0.0,0.54,0.09,0.63,,58.0,46.7,163.0,25.5,24.0,1,1,1,11,4,1.0,3.75,0.0,0.0,1.0,0.0,2.2388977679827784,2.634426962976863,2.712326983683785,2.623415815759361,2.2020297436420044,3.3903249545557124,,,,,,,1.0,3.75,Newcastle,38
Bernardo,Mota Veiga de Carvalho e Silva,Bernardo,Midfielder,MCI,13.577087459787643,15.714639426232692,100.0,100.0,,6.2,0.7,0.0,16.5,102,1,2.7,0.0,0.09,0.13,0.22,,514.0,809.0,353.0,167.8,58.0,2,4,13,30,34,8.0,12.413793103448276,4.0,2.0,2.0,0.0,3.5192082287702764,2.7328702345220415,2.5731109113617614,2.4538840120668537,2.298014073066712,2.1375519664450486,,,,,,,8.0,12.413793103448276,Man City,38
Pascal,Groß,Groß,Midfielder,BHA,14.175075255842994,15.712703051852536,,,,5.6,3.0,0.0,13.9,78,2,4.1,0.0,0.08,0.22,0.3,,397.2,668.2,220.0,128.5,90.0,1,6,6,17,18,7.0,7.0,0.0,2.0,5.0,0.0,3.2540084827106046,3.735511013154603,2.5052859247648454,2.270977726392096,2.4092921088208454,1.537627796009541,,,,,,,7.0,7.0,Brighton,38
Jaka,Bijol,Bijol,Defender,LEE,13.42760272724436,15.690335836658425,100.0,100.0,,3.9,1.3,0.0,25.4,99,1,4.0,0.0,0.04,0.04,0.08,,531.8,84.5,243.0,86.0,69.0,1,3,5,26,21,9.0,11.739130434782608,1.0,8.0,2.0,0.0,3.3343791013749318,3.2913427057211018,1.72293665796921,2.708791058011574,2.3701532041675417,2.2627331094140657,,,,,,,9.0,11.739130434782608,Leeds,38
Amadou,Onana,Onana,Midfielder,AVL,12.557144643118399,15.663403801443433,100.0,100.0,,4.8,0.6,0.0,15.8,76,1,3.0,0.0,0.09,0.04,0.13,,413.2,152.6,178.0,74.4,17.0,2,0,6,26,21,2.0,10.588235294117647,1.0,1.0,0.0,0.0,2.488380469234629,2.657578939595932,2.717201385342108,2.1907699733994095,2.5032138755463182,3.106259158325035,,,,,,,2.0,10.588235294117647,Aston Villa,38
Conor,Gallagher,Gallagher,Midfielder,TOT,13.306872314378996,15.660752066410765,100.0,100.0,,5.0,0.2,0.0,8.8,44,3,2.8,0.0,0.09,0.05,0.14,,190.6,205.9,154.0,55.1,81.0,1,1,2,23,14,8.0,8.88888888888889,2.0,1.0,5.0,0.0,3.7824063805431924,2.910911412652537,2.227267828973233,1.976146706853119,2.4101399853569125,2.3538797520317685,,,,,,,8.0,8.88888888888889,Spurs,38
Mikkel,Damsgaard,Damsgaard,Midfielder,BRE,13.323367320691498,15.657435005817405,100.0,100.0,,5.6,0.8,0.0,20.2,113,1,3.4,0.0,0.11,0.24,0.35,,530.6,691.3,326.0,155.0,7.0,4,4,5,32,24,2.0,25.714285714285715,0.0,1.0,1.0,0.0,2.707491212249367,2.7667134857359383,2.3361619320860174,2.803968370203613,2.7090323204165614,2.334067685125907,,,,,,,2.0,25.714285714285715,Brentford,38
