first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,player_id,team_code,defcon_actions,defcon_actions_per_90,role,name,season_stats_gw
Gianluigi,Donnarumma,Donnarumma,Goalkeeper,MCI,14.066278938346372,16.938356767316648,,,,5.6,9.3,0.6,24.1,135,0,4.0,3.2,0.0,0.0,0.0,,666.6,10.3,2.0,68.0,0.0,0,0,15,29,34,0.0,0.0,0.0,0.0,0.0,0.0,2.208102620296328,3.615003526293998,2.543706743699671,2.7070314324181473,2.9924346156382278,2.8720778289702777,,,,,,,736,43,0.0,0.0,Goalkeeper,Man City,38
Jaka,Bijol,Bijol,Defender,LEE,14.18752510281865,16.905123052691458,100.0,100.0,,3.9,1.3,1.2,25.4,99,1,4.0,4.8,0.04,0.04,0.08,,531.8,84.5,243.0,86.0,69.0,1,3,5,26,21,9.0,11.739130434782608,1.0,8.0,2.0,0.0,3.453734581777173,3.2128822624452633,2.089531737743633,2.846742312347098,2.5846342085054825,2.717597949872808,,,,,,,344,2,9.0,11.739130434782608,Defender,Leeds,38
Rodrigo,Muniz Carvalho,Muniz,Forward,FUL,14.094811860910323,16.87009355260117,100.0,100.0,,5.3,0.7,0.3,6.8,36,2,1.7,1.5,0.3,0.01,0.31,,113.2,93.2,287.0,47.3,71.0,1,1,3,13,10,2.0,2.535211267605634,1.0,0.0,1.0,0.0,2.570958795770553,2.941057972571103,2.667357862819722,2.777675688445729,3.137761541303215,2.775281691690848,,,,,,,338,54,2.0,2.535211267605634,Forward,Fulham,38
Myles,Lewis-Skelly,Lewis-Skelly,Defender,ARS,13.713461276157048,16.86863308718245,,,,5.0,1.9,0.8,5.8,29,2,1.4,3.8,0.01,0.03,0.04,,73.2,74.6,29.0,17.6,90.0,0,0,2,8,5,1.0,1.0,0.0,1.0,5.0,0.0,2.5288260175852746,2.358224902781749,3.233889901343268,2.6035449355919753,2.9889755188547813,3.1551718110254017,,,,,,,10,3,1.0,1.0,Defender,Arsenal,38
Tim,Iroegbunam,Iroegbunam,Midfielder,EVE,13.78098099888684,16.857945787211015,100.0,100.0,,4.8,0.0,0.5,14.2,68,4,2.3,2.2,0.03,0.04,0.07,,255.0,125.2,81.0,45.9,83.0,0,3,8,18,17,13.0,14.096385542168674,3.0,5.0,5.0,2.0,3.058619806789573,2.9463837969504474,2.6649518794882567,2.3086424822515665,2.802383033406998,3.076964788324176,,,,,,,304,11,13.0,14.096385542168674,Midfielder,Everton,38
Liam,Delap,Delap,Forward,CHE,13.226497818231298,16.855295122983545,100.0,100.0,,6.2,0.9,0.1,7.3,45,1,1.6,0.5,0.37,0.02,0.39,,67.8,73.7,349.0,47.3,5.0,1,2,2,18,12,1.0,18.0,0.0,0.0,1.0,0.0,2.570475047396712,2.594033658647119,2.2260752699483124,2.8405087756904797,2.995405066548674,3.6287973047522466,,,,,,,250,8,1.0,18.0,Forward,Chelsea,38
Noah,Sadiki,Sadiki,Midfielder,SUN,14.04127915483977,16.81643867504043,100.0,100.0,,4.9,0.1,0.5,16.3,80,1,2.4,2.5,0.04,0.05,0.09,,347.6,333.3,162.0,84.6,90.0,0,2,9,42,33,6.0,6.0,0.0,2.0,4.0,0.0,3.534343985245779,2.7915973652968393,3.118525450193927,1.9679853180710603,2.628827036032166,2.7751595202006594,,,,,,,552,56,6.0,6.0,Midfielder,Sunderland,38
Nico,González Iglesias,N.Gonzalez,Midfielder,MCI,14.198139928032425,16.7926072385928,100.0,100.0,,5.9,0.1,0.2,10.7,63,4,2.5,1.2,0.04,0.06,0.1,,309.8,234.1,72.0,61.5,90.0,1,0,7,18,17,14.0,14.0,3.0,4.0,7.0,2.0,3.196805206851797,3.1423903612386357,2.909241263923154,2.441630903150694,2.5080721928681444,2.5944673105603764,,,,,,,423,43,14.0,14.0,Midfielder,Man City,38
Harry,Maguire,Maguire,Defender,MUN,14.47946937881679,16.79133947918905,100.0,100.0,,4.4,1.7,1.1,20.5,90,6,3.9,5.0,0.06,0.03,0.09,,381.6,62.5,184.0,63.0,90.0,1,2,7,20,19,7.0,7.0,1.0,6.0,2.0,0.0,3.3702167017725597,3.162592262654666,2.6344622253591945,2.6473346111622,2.6648635778681697,2.311870100372257,,,,,,,442,1,7.0,7.0,Defender,Man Utd,38
Mateus Gonçalo,Espanha Fernandes,M.Fernandes,Midfielder,WHU,14.174021592993427,16.777088878698244,100.0,100.0,,5.5,0.6,0.9,24.5,135,9,3.8,4.8,0.06,0.09,0.15,,657.2,622.8,183.0,146.3,90.0,3,4,8,50,35,12.0,12.0,5.0,2.0,5.0,2.0,2.7367325795909143,3.7889228514838384,2.6771672995244176,2.383848012664165,2.5873508497300923,2.603067285704819,,,,,,,708,21,12.0,12.0,Midfielder,West Ham,38
Lucas,Pires Silva,Lucas Pires,Defender,BUR,14.63331990738315,16.760022551451918,100.0,100.0,,3.8,0.3,0.3,6.6,25,2,1.2,1.2,0.04,0.09,0.13,,247.0,294.6,117.0,65.6,90.0,0,0,1,30,15,3.0,3.0,1.0,2.0,5.0,0.0,4.0423565169430375,3.2165422317934684,3.156948097842373,2.175500732208155,2.0419723285961155,2.126702644068766,,,,,,,195,90,3.0,3.0,Defender,Burnley,38
Rio,Cardines,Cardines,Midfielder,CRY,13.73196685974619,16.667353667166534,100.0,100.0,,4.4,0.3,0.1,0.5,2,2,2.0,0.4,0.02,0.16,0.18,,15.2,30.0,4.0,4.9,90.0,0,0,0,2,1,7.0,7.0,1.0,2.0,4.0,0.0,2.0382117896900116,2.7334864787117574,3.1684065298147446,3.211100407411055,2.5807616541186205,2.935386807420343,,,,,,,690,31,7.0,7.0,Midfielder,Crystal Palace,38
Lewis,Dunk,Dunk,Defender,BHA,13.702083454611682,16.6560508315514,100.0,100.0,,4.5,1.0,1.0,22.2,100,1,3.0,4.5,0.06,0.02,0.08,,649.6,125.5,210.0,98.7,90.0,1,1,7,40,31,5.0,5.0,2.0,3.0,5.0,0.0,2.7660199744464875,3.0285975924320017,2.6949459482762617,2.7635517064006927,2.448968233056239,2.9539673769397177,,,,,,,146,36,5.0,5.0,Defender,Brighton,38
Nilson,Angulo,Angulo,Midfielder,SUN,13.511388071950837,16.632538172506006,100.0,100.0,,5.0,0.0,0.2,2.6,13,1,1.6,1.0,0.17,0.03,0.2,,45.4,44.3,89.0,17.8,60.0,0,0,1,6,5,10.0,15.0,2.0,5.0,3.0,0.0,3.1774230028454715,2.828085029550266,2.48351438595836,2.3285045859930293,2.693861067603711,3.121150100555171,,,,,,,813,56,10.0,15.0,Midfielder,Sunderland,38
Luke,Shaw,Shaw,Defender,MUN,14.059283847746956,16.626565150187062,100.0,100.0,,4.5,1.1,1.1,25.1,113,6,3.0,5.0,0.02,0.06,0.08,,560.2,314.8,97.0,97.4,81.0,1,1,10,45,38,6.0,6.666666666666666,2.0,4.0,2.0,0.0,3.2301143222233364,3.1978647119473123,2.373435340517571,2.7255297174452595,2.532339755613476,2.5672813024401058,,,,,,,443,1,6.0,6.666666666666666,Defender,Man Utd,38
Jack,Hinshelwood,Hinshelwood,Midfielder,BHA,13.335581037776738,16.591827684510157,100.0,100.0,,5.2,1.6,1.0,17.5,91,2,3.4,5.0,0.26,0.12,0.38,,312.6,228.0,412.0,94.8,73.0,4,5,7,23,20,3.0,3.6986301369863015,1.0,0.0,2.0,0.0,3.1756455982748046,3.240236967763408,1.9845536606121172,2.5156588310360313,2.419485980090376,3.2562466467334192,,,,,,,163,36,3.0,3.6986301369863015,Midfielder,Brighton,38
Hugo,Ekitiké,Ekitiké,Forward,LIV,13.09433239684753,16.590515314565586,0.0,0.0,Achilles injury - Expected back 01 Jul,9.0,15.7,0.0,13.9,125,0,4.5,0.0,0.51,0.12,0.63,,525.8,307.2,739.0,156.2,0.0,11,4,7,25,21,0.0,0.0,0.0,0.0,0.0,0.0,0.48745421384627924,2.28632075204806,2.678741003955979,3.7510992499813436,3.8907171770158673,3.4961829177180546,,,,,,,661,14,0.0,0.0,Forward,Liverpool,38
Michael,Keane,Keane,Defender,EVE,14.321652454017443,16.563398394333113,100.0,100.0,,4.5,3.1,0.6,29.1,131,4,4.0,2.8,0.08,0.02,0.1,,770.4,47.4,299.0,111.7,90.0,3,1,7,42,29,11.0,11.0,2.0,9.0,2.0,2.0,3.6306159492577383,2.9769661612390617,1.9548862446734976,2.8427745208120414,2.916409578035104,2.2417459403156696,,,,,,,295,11,11.0,11.0,Defender,Everton,38
Lesley,Ugochukwu,Ugochukwu,Midfielder,BUR,14.088433930657322,16.510117689912178,100.0,100.0,,5.0,0.1,0.4,19.4,97,2,2.8,2.2,0.1,0.02,0.12,,412.2,181.5,210.0,80.2,74.0,3,3,3,51,27,5.0,6.081081081081082,0.0,1.0,4.0,0.0,3.3526159291165807,3.3906301575933537,2.137413387192376,2.160358607513117,3.0474158492418937,2.421683759254857,,,,,,,676,90,5.0,6.081081081081082,Midfielder,Burnley,38
Antonee,Robinson,Robinson,Defender,FUL,14.010212695143725,16.421313662481968,100.0,100.0,,4.9,0.9,1.0,13.3,65,6,3.0,5.0,0.06,0.1,0.16,,375.0,334.6,82.0,79.3,90.0,1,0,4,19,17,7.0,7.0,3.0,4.0,4.0,0.0,3.293232472169182,2.6449655399438847,2.6312693203107997,2.604993057663414,2.835752305056446,2.4111009673382435,,,,,,,316,54,7.0,7.0,Defender,Fulham,38
Jaydee,Canvot,Canvot,Defender,CRY,13.7328434495332,16.372213536058105,100.0,100.0,,4.5,0.5,0.3,16.0,72,0,3.6,1.4,0.1,0.02,0.12,,362.4,63.8,56.0,48.1,0.0,0,0,5,23,14,0.0,0.0,0.0,0.0,0.0,0.0,2.0773071652438224,3.0221025725963457,2.67825630778197,2.825802381583385,3.129375022327677,2.6393700865249055,,,,,,,723,31,0.0,0.0,Defender,Crystal Palace,38
Giorgi,Mamardashvili,Mamardashvili,Goalkeeper,LIV,12.975108376081755,16.309623729669152,100.0,100.0,,4.1,0.7,0.2,8.3,34,0,3.4,0.8,0.0,0.0,0.0,,275.6,0.0,0.0,27.5,0.0,0,0,2,18,10,0.0,0.0,0.0,0.0,0.0,0.0,2.5366251293625512,2.560186281541525,2.4865993562061703,2.5572158923639283,2.8344817166075806,3.334515353587397,,,,,,,367,14,0.0,0.0,Goalkeeper,Liverpool,38
Trevoh,Chalobah,Chalobah,Defender,CHE,13.430359914114423,16.295481627214816,100.0,100.0,,5.4,8.8,0.1,25.2,136,1,4.0,0.8,0.05,0.03,0.08,,719.2,111.2,160.0,99.1,25.0,3,1,9,40,31,4.0,14.399999999999999,0.0,4.0,1.0,0.0,2.5127158812824266,2.8743488167229017,2.3650760718748076,2.564235596829431,3.113983547404856,2.8651217131003923,,,,,,,226,8,4.0,14.399999999999999,Defender,Chelsea,38
Jayden,Bogle,Bogle,Defender,LEE,14.279465230673962,16.266117674260638,75.0,100.0,,4.4,0.4,0.4,21.8,96,2,2.8,1.8,0.07,0.1,0.17,,436.0,346.1,218.0,100.3,77.0,1,5,6,44,32,8.0,9.350649350649352,4.0,4.0,2.0,0.0,4.109331428302627,3.4356427086506867,1.803617135198394,2.6017728287666544,2.3291011297556,1.9866524435866757,,,,,,,342,2,8.0,9.350649350649352,Defender,Leeds,38
Djed,Spence,Spence,Defender,TOT,13.654635114930345,16.245021713293774,100.0,100.0,,4.1,0.9,0.5,19.0,78,6,2.6,2.2,0.04,0.08,0.12,,291.0,209.7,207.0,70.5,90.0,0,0,9,31,23,3.0,3.0,2.0,1.0,5.0,0.0,3.062164295365772,2.6759903478581406,2.704494613942009,2.4357579782010017,2.776227879563422,2.590386598363427,,,,,,,573,6,3.0,3.0,Defender,Spurs,38
Nordi,Mukiele,Mukiele,Defender,SUN,13.445521572273535,16.230833743714086,100.0,100.0,,4.6,8.7,1.3,32.8,151,4,4.7,5.8,0.05,0.09,0.14,,733.6,353.1,242.0,132.9,90.0,3,5,9,40,32,12.0,12.0,2.0,10.0,8.0,2.0,3.5227998551022663,2.6938775608592267,2.7264106981386544,1.7961548883714251,2.7062785698019614,2.78531217144055,,,,,,,694,56,12.0,12.0,Defender,Sunderland,38
Reece,James,James,Defender,CHE,13.971678414356058,16.22059291368596,100.0,100.0,,5.6,6.0,0.1,20.5,115,1,4.0,0.5,0.05,0.15,0.2,,459.0,483.7,116.0,106.1,38.0,2,6,8,20,20,0.0,0.0,0.0,0.0,2.0,0.0,3.2256878229935184,3.0007418797389676,2.134810831503664,2.5928943589694926,3.017543521150417,2.2489144993299024,,,,,,,225,8,0.0,0.0,Defender,Chelsea,38
Will,Hughes,Hughes,Midfielder,CRY,13.493716361952684,16.190268276021442,100.0,100.0,,4.7,0.1,0.1,9.6,45,2,1.5,0.6,0.06,0.11,0.17,,198.0,322.9,90.0,60.9,90.0,0,1,5,18,19,5.0,5.0,2.0,2.0,1.0,0.0,2.9119687982092315,3.0549036401219865,3.2103821643478843,2.558641145863892,1.7578206134096899,2.696551914068759,,,,,,,270,31,5.0,5.0,Midfielder,Crystal Palace,38
Wilson,Isidor,Isidor,Forward,SUN,13.219017740371015,16.122322932292015,100.0,100.0,,5.0,1.3,0.4,14.8,74,1,2.3,1.8,0.37,0.03,0.4,,242.0,30.4,444.0,71.5,29.0,6,1,4,17,11,1.0,3.103448275862069,1.0,0.0,0.0,0.0,2.022530051956344,2.733879535157724,3.12006018750305,2.4071884424906256,2.935359523263272,2.9033051919209982,,,,,,,560,56,1.0,3.103448275862069,Forward,Sunderland,38
Merlin,Röhl,Röhl,Midfielder,EVE,13.589807087166424,16.086349629975473,100.0,100.0,,5.0,0.0,0.9,7.2,36,2,2.2,4.5,0.09,0.05,0.14,,113.0,87.4,62.0,26.3,61.0,1,1,2,13,6,4.0,5.9016393442622945,2.0,1.0,1.0,0.0,2.8467380893401426,3.3461917038076554,2.190141907709078,2.4251158347652026,2.7816195515443445,2.4965425428090473,,,,,,,728,11,4.0,5.9016393442622945,Midfielder,Everton,38
David,Møller Wolfe,Møller Wolfe,Defender,WOL,13.354634669616118,16.067739859444174,,,,4.2,0.1,0.3,8.3,35,2,1.6,1.2,0.01,0.09,0.1,,159.8,126.5,46.0,33.3,73.0,0,2,1,23,11,6.0,7.397260273972603,1.0,5.0,3.0,0.0,2.8343159386406294,2.7626912117406355,2.3734679754833072,2.693311790581344,2.690847753170203,2.7131051898280556,,,,,,,682,39,6.0,7.397260273972603,Defender,Wolves,38
Martin,Dúbravka,Dúbravka,Goalkeeper,BUR,12.848291346600814,16.06642788383998,100.0,100.0,,4.0,25.7,0.1,24.0,96,0,2.7,0.5,0.0,0.0,0.0,,976.4,0.0,0.0,97.9,0.0,0,0,4,71,35,0.0,0.0,0.0,0.0,0.0,0.0,2.306859382594443,2.7084421367634146,2.3796010221436985,2.654284914255803,2.799103890843454,3.2181365372391677,,,,,,,470,90,0.0,0.0,Goalkeeper,Burnley,38
Joško,Gvardiol,Gvardiol,Defender,MCI,13.100598961069483,16.061837879543475,100.0,100.0,,5.8,3.2,0.1,13.6,79,1,4.4,0.4,0.15,0.05,0.2,,369.0,109.5,218.0,69.8,12.0,2,2,6,13,16,1.0,7.5,0.0,1.0,1.0,0.0,2.49560595996002,2.8083356830287016,2.474502383957519,2.2043785220693572,3.1177764120538844,2.9612389184739905,,,,,,,403,43,1.0,7.5,Defender,Man City,38
Conor,Gallagher,Gallagher,Midfielder,TOT,13.2331386748135,16.05532430031435,100.0,100.0,,5.0,0.2,0.8,8.8,44,3,2.8,4.0,0.09,0.05,0.14,,190.6,205.9,154.0,55.1,81.0,1,1,2,23,14,8.0,8.88888888888889,2.0,1.0,5.0,0.0,3.66008205053699,2.5520065656736737,2.308253455314441,2.1202907719943456,2.592505831294048,2.8221856255008504,,,,,,,796,6,8.0,8.88888888888889,Midfielder,Spurs,38
Rodrigo,Bentancur,Bentancur,Midfielder,TOT,13.31372212831219,16.029751026441545,100.0,100.0,,5.2,0.2,0.7,16.5,86,5,3.3,3.5,0.03,0.04,0.07,,349.0,197.8,124.0,67.4,81.0,1,1,8,25,23,14.0,15.555555555555555,3.0,4.0,7.0,2.0,2.7382585297983257,3.1021732738899943,2.4030664827648724,2.112902763414872,2.9573210784441253,2.7160288981293568,,,,,,,585,6,14.0,15.555555555555555,Midfielder,Spurs,38
Gabriel,Fernando de Jesus,G.Jesus,Forward,ARS,13.171373024990118,15.954443633244637,100.0,100.0,,6.4,0.4,0.2,3.8,24,5,1.7,1.5,0.58,0.06,0.64,,141.8,54.3,281.0,47.5,74.0,3,0,1,6,3,3.0,3.6486486486486487,0.0,2.0,1.0,0.0,3.5725133533700975,2.1757548115486154,2.6452929397186846,1.979145476426059,2.7986664439266624,2.7830706082545187,,,,,,,31,3,3.0,3.6486486486486487,Forward,Arsenal,38
Tolu,Arokodare,Tolu,Forward,WOL,13.481717644667107,15.945991011088704,,,,5.1,0.1,0.2,12.9,66,1,2.0,1.2,0.35,0.03,0.38,,252.4,178.4,561.0,98.2,24.0,3,2,3,28,13,2.0,7.5,0.0,2.0,0.0,0.0,1.7990845484433913,2.911646195247246,3.0570064843408864,2.4886264481459683,3.225353968489614,2.4642733664215974,,,,,,,720,39,2.0,7.5,Forward,Wolves,38
Matty,Cash,Cash,Defender,AVL,13.234474997098424,15.885432781194464,100.0,100.0,,4.6,7.4,0.4,25.4,117,1,3.3,1.8,0.03,0.09,0.12,,643.0,510.7,221.0,137.5,45.0,3,3,8,38,34,1.0,2.0,0.0,1.0,2.0,0.0,3.63696870072863,3.3511230206797618,2.1183400779144104,2.221465952445892,1.906577245329729,2.6509577840960405,,,,,,,36,7,1.0,2.0,Defender,Aston Villa,38
Kiernan,Dewsbury-Hall,Dewsbury-Hall,Midfielder,EVE,12.997514456741579,15.799000834660147,100.0,100.0,,5.3,7.9,0.5,28.5,151,2,4.9,2.8,0.15,0.18,0.33,,619.4,601.1,438.0,166.0,83.0,8,7,8,39,30,6.0,6.506024096385541,1.0,1.0,4.0,0.0,3.7963396323581238,2.9269783376894853,2.167717720574217,1.8524804006724054,2.2539983654473463,2.8014863779185686,,,,,,,242,11,6.0,6.506024096385541,Midfielder,Everton,38
Solly,March,March,Midfielder,BHA,12.51795689499728,15.784744589017025,100.0,100.0,,5.8,0.0,0.1,0.7,4,1,1.0,0.8,0.09,0.05,0.14,,7.4,2.2,23.0,3.2,31.0,0,0,0,1,0,5.0,14.516129032258064,2.0,0.0,3.0,0.0,2.3975548686445434,2.5365867607229196,2.117251224147613,2.7090313537411377,2.7575326877410657,3.2667876940197456,,,,,,,159,36,5.0,14.516129032258064,Midfielder,Brighton,38
Milos,Kerkez,Kerkez,Defender,LIV,12.481015002552896,15.75452407544226,100.0,100.0,,5.6,2.9,0.2,15.2,85,1,2.5,1.0,0.06,0.03,0.09,,434.6,415.8,141.0,99.4,7.0,2,1,6,37,27,2.0,25.714285714285715,0.0,2.0,1.0,0.0,2.078693488359003,3.115575339750527,2.365454729032456,2.1949652448331483,2.726326200577761,3.273509072889365,,,,,,,371,14,2.0,25.714285714285715,Defender,Liverpool,38
Jorrel,Hato,Hato,Defender,CHE,13.43308772791961,15.749439779661905,100.0,100.0,,4.6,0.2,0.2,4.1,19,0,0.9,1.0,0.02,0.05,0.07,,233.2,114.9,36.0,38.4,51.0,0,0,0,27,12,4.0,7.0588235294117645,0.0,4.0,0.0,0.0,3.25745939757284,2.721260619875125,2.0369935343920016,2.646554269442365,2.7708199066372785,2.316352051742297,,,,,,,672,8,4.0,7.0588235294117645,Defender,Chelsea,38
Carlos,Baleba,Baleba,Midfielder,BHA,12.792313668869337,15.726404783127407,100.0,100.0,,4.5,1.5,0.6,12.4,56,1,1.8,2.8,0.04,0.04,0.08,,166.8,156.3,44.0,36.8,31.0,0,0,7,19,23,9.0,26.129032258064516,2.0,1.0,6.0,0.0,2.187259919289727,3.0184553315573344,2.5599127590089297,2.5167551575316276,2.509930501481718,2.9340911142580706,,,,,,,167,36,9.0,26.129032258064516,Midfielder,Brighton,38
Habib,Diarra,Diarra,Midfielder,SUN,12.297512291421647,15.687246105102869,100.0,100.0,,5.3,0.1,0.2,12.3,65,0,3.2,1.2,0.21,0.05,0.26,,166.2,153.8,234.0,53.9,29.0,2,6,5,19,15,2.0,6.206896551724138,0.0,0.0,2.0,0.0,2.1633868098272266,2.966098272380013,2.5857064781111676,2.3550097835610018,2.22731094754224,3.3897338136812225,,,,,,,544,56,2.0,6.206896551724138,Midfielder,Sunderland,38
Josh,King,King,Midfielder,FUL,12.4989077217519,15.652831430379486,100.0,100.0,,4.4,1.6,0.2,14.3,63,1,2.0,0.8,0.17,0.05,0.22,,207.4,198.7,336.0,73.3,18.0,1,3,5,18,15,4.0,20.0,1.0,0.0,3.0,0.0,1.781205195231343,2.8480662663738885,2.569637565267162,2.634382619116704,2.6656160757628022,3.153923708627586,,,,,,,335,54,4.0,20.0,Midfielder,Fulham,38
Pau,Torres,Pau,Defender,AVL,12.885800608447568,15.632672522983,100.0,100.0,,4.3,0.3,0.3,14.9,64,1,3.0,1.2,0.07,0.02,0.09,,321.8,47.1,79.0,45.1,17.0,0,2,5,19,18,3.0,15.882352941176471,0.0,3.0,0.0,0.0,2.1779046807913875,3.019606188450287,2.5585643855761298,2.296229176253153,2.8334961773766105,2.7468719145354332,,,,,,,41,7,3.0,15.882352941176471,Defender,Aston Villa,38
Bashir,Humphreys,Humphreys,Defender,BUR,12.526949752462258,15.506552370712807,100.0,100.0,,3.9,0.1,0.2,12.1,47,2,2.4,0.8,0.02,0.04,0.06,,379.0,135.6,101.0,61.4,90.0,0,2,2,33,17,3.0,3.0,0.0,3.0,5.0,0.0,1.673281468162839,2.7300197816442315,2.8429097060404183,2.4304194016416307,2.8503193949731385,2.97960261825055,,,,,,,193,90,3.0,3.0,Defender,Burnley,38
Pascal,Groß,Groß,Midfielder,BHA,13.781579243014894,15.505764090094384,,,,5.6,3.0,0.6,13.9,78,2,4.1,3.2,0.08,0.22,0.3,,397.2,668.2,220.0,128.5,90.0,1,6,6,17,18,7.0,7.0,0.0,2.0,5.0,0.0,3.487436863341473,3.6967606337514596,2.683031060887518,1.8650994740037292,2.0492512110307146,1.7241848470794905,,,,,,,783,36,7.0,7.0,Midfielder,Brighton,38
Nicolás,Domínguez,Dominguez,Midfielder,NFO,12.551665411581094,15.497628447156698,100.0,100.0,,5.0,0.0,0.2,9.6,48,1,1.8,1.2,0.11,0.06,0.17,,264.8,193.5,138.0,59.7,25.0,1,1,3,20,17,3.0,10.799999999999999,2.0,0.0,1.0,0.0,2.208686210912124,2.8157909193890096,2.5347454022116525,2.544590619024043,2.4478522600442654,2.945963035575604,,,,,,,519,17,3.0,10.799999999999999,Midfielder,Nott'm Forest,38
Victor,Lindelöf,Lindelöf,Defender,AVL,12.684676897120886,15.48581156076467,100.0,100.0,,4.5,0.1,0.3,6.4,29,2,1.7,1.2,0.03,0.01,0.04,,167.8,36.6,22.0,22.7,72.0,0,1,1,15,11,5.0,6.25,1.0,4.0,3.0,0.0,2.0391336540899343,2.9097546323241494,2.2883481169603015,2.4159168317572495,3.031523661989251,2.801134663643784,,,,,,,719,7,5.0,6.25,Defender,Aston Villa,38
John,Stones,Stones,Defender,MCI,12.180068684308544,15.472043588505318,100.0,100.0,,5.4,0.6,0.1,3.0,16,3,1.8,0.8,0.0,0.02,0.02,,101.8,24.4,4.0,13.0,77.0,0,0,1,10,5,10.0,11.688311688311689,1.0,9.0,2.0,2.0,2.2023347745020505,2.2632607211914277,2.1614976624985682,2.750352723831801,2.802622802284697,3.291974904196773,,,,,,,409,43,10.0,11.688311688311689,Defender,Man City,38
Amadou,Onana,Onana,Midfielder,AVL,12.493840268190016,15.452546804523319,100.0,100.0,,4.8,0.6,0.0,15.8,76,1,3.0,0.2,0.09,0.04,0.13,,413.2,152.6,178.0,74.4,17.0,2,0,6,26,21,2.0,10.588235294117647,1.0,1.0,0.0,0.0,2.1936945626024906,2.782901682622096,2.638672144446108,2.355563408550941,2.5230084699683824,2.9587065363333016,,,,,,,59,7,2.0,10.588235294117647,Midfielder,Aston Villa,38
Kepa,Arrizabalaga Revuelta,Arrizabalaga,Goalkeeper,ARS,12.816351118745542,15.410085366723898,,,,4.0,0.4,0.1,0.5,2,2,2.0,0.5,0.0,0.0,0.0,,19.8,0.0,0.0,2.0,90.0,0,0,0,1,1,0.0,0.0,0.0,3.0,8.0,0.0,2.7652382013063757,2.6605568534669004,3.178184676627468,2.1625454049192863,2.049825982425512,2.5937342479783547,,,,,,,2,3,0.0,0.0,Goalkeeper,Arsenal,38
Ryan,Yates,Yates,Midfielder,NFO,12.111317698172366,15.360167093418523,100.0,100.0,,4.7,0.1,0.3,6.4,30,1,1.4,1.2,0.07,0.06,0.13,,139.0,79.7,55.0,27.2,25.0,0,2,0,7,2,6.0,21.599999999999998,2.0,2.0,2.0,0.0,1.7863478105762205,2.646878060696595,2.5622152744297217,2.632385819995828,2.483490732474001,3.2488493952461575,,,,,,,522,17,6.0,21.599999999999998,Midfielder,Nott'm Forest,38
Ezri,Konsa Ngoyo,Konsa,Defender,AVL,12.658138420987806,15.304003457323184,100.0,100.0,,4.4,7.0,0.1,22.7,100,0,2.9,0.5,0.04,0.02,0.06,,601.4,108.3,124.0,84.0,0.0,0,1,9,44,34,0.0,0.0,0.0,0.0,0.0,0.0,2.165320661195964,2.6648880949646063,2.554446859267045,2.4495928143983723,2.8238899911618187,2.6458650363353775,,,,,,,38,7,0.0,0.0,Defender,Aston Villa,38
Curtis,Jones,C.Jones,Midfielder,LIV,13.298230173731456,15.302229439040186,100.0,100.0,,5.4,0.1,0.7,15.0,81,10,2.4,3.8,0.1,0.13,0.23,,407.4,412.1,227.0,104.6,90.0,1,3,3,37,18,11.0,11.0,1.0,5.0,5.0,0.0,3.567237721803744,2.761790093837045,2.589863592318941,1.7899872389416895,2.589351526830036,2.003999265308729,,,,,,,388,14,11.0,11.0,Midfielder,Liverpool,38
Joe,Willock,Willock,Midfielder,NEW,12.849448661358046,15.24097930771179,100.0,100.0,,5.0,0.1,0.4,7.6,38,2,1.6,2.0,0.12,0.1,0.22,,145.4,205.8,204.0,55.5,90.0,0,2,3,18,10,6.0,6.0,2.0,3.0,1.0,0.0,2.923740777798564,2.4448725873719734,2.9932940430187838,2.4533333552881094,2.0342078978806155,2.391530646353744,,,,,,,494,4,6.0,6.0,Midfielder,Newcastle,38
Diogo,Dalot Teixeira,Dalot,Defender,MUN,13.036685412980892,15.18404108080539,100.0,100.0,,4.5,3.8,0.1,24.7,111,0,3.3,0.5,0.07,0.09,0.16,,535.8,458.5,202.0,119.6,0.0,1,6,7,40,29,0.0,0.0,0.0,0.0,0.0,0.0,3.287805416576345,2.6777704955587116,2.258528824497481,2.5659263027904786,2.246654373557877,2.147355667824498,,,,,,,440,1,0.0,0.0,Defender,Man Utd,38
