bin,count,pred_mean,actual_mean,pred_min,pred_max
0,44,0.6390458431960927,0.0,0.5645955987707874,0.6448718759998177
1,46,0.6504046046478716,0.0,0.6464826105528346,0.6538792294270487
2,38,0.6765853815853181,0.040840716809628884,0.6546130040527394,0.6978887551006584
3,52,0.7527648345111311,0.0326776964882065,0.6980754205166407,0.8398964567844627
4,44,1.4049845504036467,0.9376887937017169,0.8439778374030151,2.6725791187632986
5,45,5.386760460735632,4.664167326486853,2.7172005204397327,7.6418783876304
6,45,9.79320827033746,8.929444202551746,7.664792305075333,11.708906888394457
7,45,12.89456172253431,12.390919753896709,11.782058038756915,13.92805259594492
8,45,15.442981467451924,15.879283201756056,13.98297595665859,17.179693707978846
9,45,19.95896614229856,20.856347379743315,17.194082124980273,28.359627709119582
